year,country,inflation_type,inflation_avg_percent,source_url
2022,France,CPI,5.22,https://www.global-rates.com/en/inflation/historical/2022/
2022,Germany,CPI,6.86,https://www.global-rates.com/en/inflation/historical/2022/
2022,Italy,CPI,8.18,https://www.global-rates.com/en/inflation/historical/2022/
2022,Japan,CPI,2.5,https://www.global-rates.com/en/inflation/historical/2022/
2022,United Kingdom,CPI,7.9,https://www.global-rates.com/en/inflation/historical/2022/
2022,United States,CPI,8.01,https://www.global-rates.com/en/inflation/historical/2022/
2022,Euro Area,HICP,8.38,https://www.global-rates.com/en/inflation/historical/2022/
2023,Canada,CPI,3.89,https://www.global-rates.com/en/inflation/historical/2023/
2023,France,CPI,4.89,https://www.global-rates.com/en/inflation/historical/2023/
2023,Germany,CPI,5.99,https://www.global-rates.com/en/inflation/historical/2023/
2023,Italy,CPI,5.72,https://www.global-rates.com/en/inflation/historical/2023/
2023,Japan,CPI,3.27,https://www.global-rates.com/en/inflation/historical/2023/
2023,United Kingdom,CPI,6.84,https://www.global-rates.com/en/inflation/historical/2023/
2023,United States,CPI,4.14,https://www.global-rates.com/en/inflation/historical/2023/
2023,Euro Area,HICP,5.48,https://www.global-rates.com/en/inflation/historical/2023/
2024,Canada,CPI,2.39,https://www.global-rates.com/en/inflation/historical/2024/
2024,France,CPI,2.0,https://www.global-rates.com/en/inflation/historical/2024/
2024,Germany,CPI,2.26,https://www.global-rates.com/en/inflation/historical/2024/
2024,Italy,CPI,0.98,https://www.global-rates.com/en/inflation/historical/2024/
2024,Japan,CPI,2.74,https://www.global-rates.com/en/inflation/historical/2024/
2024,United Kingdom,CPI,3.28,https://www.global-rates.com/en/inflation/historical/2024/
2024,United States,CPI,2.95,https://www.global-rates.com/en/inflation/historical/2024/
2024,Euro Area,HICP,2.37,https://www.global-rates.com/en/inflation/historical/2024/
2025,Canada,CPI,2.07,https://www.global-rates.com/en/inflation/historical/2025/
2025,France,CPI,0.94,https://www.global-rates.com/en/inflation/historical/2025/
2025,Germany,CPI,2.17,https://www.global-rates.com/en/inflation/historical/2025/
2025,Italy,CPI,1.53,https://www.global-rates.com/en/inflation/historical/2025/
2025,Japan,CPI,3.18,https://www.global-rates.com/en/inflation/historical/2025/
2025,United Kingdom,CPI,3.88,https://www.global-rates.com/en/inflation/historical/2025/
2025,United States,CPI,2.69,https://www.global-rates.com/en/inflation/historical/2025/
2025,Euro Area,HICP,2.13,https://www.global-rates.com/en/inflation/historical/2025/
